relation_id,site_name,related_person,person_role,event_name,event_time,event_type,source_work,source_excerpt_or_basis,relation_strength,visualization_mode,notes
REL001,应天门,武则天,皇帝,登基称帝,武周建立时期,政治/礼制,3门1堂1池整理稿,朝廷举行登基改元大赦宴会等外朝大典；武则天在此登基称帝,强,人物路径节点/礼制空间高亮,可作为武则天神都路径起点
REL002,应天门,唐高祖,皇帝,焚毁重修则天门,唐初,营建/制度调整,3门1堂1池整理稿,则天门因规制过于奢华故下令焚毁重修,中,事件时间轴/点位卡片,需后续回查原始出处
REL003,应天门,唐中宗,皇帝,改名应天门与神龙门,705年,命名/政治避讳,《元河南志》卷四,神龙元年避武后尊号改应天门；又避中宗尊号改神龙门；寻复为应天,强,名称变迁动画/时间滑块,适合表现同一遗址名称层叠
REL004,应天门,日本遣隋使与遣唐使,外国使节,万国来使接见,隋唐时期,外交/礼仪,3门1堂1池整理稿,隋唐两代帝王接见日本遣隋使遣唐使等万国来使的重要场所,中,外交视线/礼仪节点,人物可按群体处理不做个体传记
REL005,明堂,隋炀帝,皇帝,乾阳殿阶段,隋代,营建/宫殿变迁,3门1堂1池整理稿,遗址变迁为隋炀帝乾阳殿至唐高宗乾元殿至武则天明堂,中,建筑前身层/时间滑块,用于说明明堂并非孤立出现
REL006,明堂,唐高宗,皇帝,乾元殿阶段,唐高宗时期,营建/宫殿变迁,3门1堂1池整理稿,遗址变迁为唐高宗乾元殿,中,建筑前身层/时间滑块,与乾元门及宫城中轴关系可联动
REL007,明堂,武则天,皇帝,建造明堂/万象神宫,688年,政治/礼制/权力展示,《旧唐书·礼仪志二》；《元河南志》,明堂成高二百九十四尺；武后长寿三年改造明堂号万象神宫,强,人物路径主节点/礼制核心高亮,武则天主叙事核心点
REL008,明堂,薛怀义,僧人/武则天宠臣,火焚天堂并延烧明堂,695年,宫廷事件/灾毁,《旧唐书·则天皇后本纪》；《资治通鉴》；《元河南志》,证圣元年明堂灾；佛堂灾延烧明堂；大明堂天堂同焚,强,灾毁事件动画/明堂天堂联动,可形成明堂-天堂-九洲池事件链
REL009,明堂,武则天,皇帝,重建明堂并改称通天宫,696年,重建/礼制空间,《元河南志》,又敕更造明堂侔前制；号通天宫,强,重建时间轴/建筑层切换,与火焚事件前后对照
REL010,明堂,唐玄宗,皇帝,改制明堂与乾元殿,开元五年/十年/二十七年,制度调整/建筑改造,《元河南志》,明皇开元五年幸东都改为乾元殿；十年复为明堂；二十七年毁上层改修下层为新殿,中,时间滑块/名称变迁,可作为武周之后的延续层
REL011,乾元门,武则天,皇帝,永泰门改通天门,武周时期,命名/中轴空间,《河南志》,应天门内曰乾元门；隋曰永泰门；武后改通天门,强,中轴路径节点/名称变迁,作为应天门至明堂之间的过渡门
REL012,乾元门,唐玄宗,皇帝,通天门改乾元门,开元五年,命名/制度调整,《河南志》,开元五年改乾元门,中,名称变迁动画/时间滑块,与明堂改制可并置
REL013,乾元门,王彦威,节度使/题刻相关人物,诗刻乾元门,时间待考,文学题刻/后世记忆,《唐氏纪事》,东京乾元门旧章武军鼓角楼；节度使王彦威有诗刻石在其上,弱,补充材料/点位卡片附属信息,非主叙事人物
REL014,玄武门,张柬之等,宰相/政变发动者,神龙政变,705年,政治事件/宫城北门,《资治通鉴考异》；3门1堂1池整理稿,张柬之等发动神龙政变；政变行动从洛阳玄武门开始,强,政变路径/北门高亮,可与应天门的登基叙事形成权力起落对照
REL015,玄武门,武则天,皇帝,神龙政变后退位,705年,政治事件,3门1堂1池整理稿,宰相张柬之等人发动神龙政变逼迫女皇武则天退位,强,人物路径终点/权力转折节点,武则天主线的终局节点
REL016,玄武门,李从珂,后唐末帝,登玄武门城楼自焚,936年,政权终结/灾难事件,3门1堂1池整理稿,后唐末帝李从珂携家人登上玄武门城楼自焚；传国玉玺从此消失,中,时间轴附属事件/北门记忆层,时期较晚可作为延伸叙事
REL017,九洲池,武则天,皇帝,诛杀薛怀义,695年,宫廷事件/权力清洗,《资治通鉴》,太后密选宫人多力者百余人；执薛怀义于瑶光殿前树下；使建昌王武攸宁帅壮士殴杀之,强,九洲池事件节点/人物关系线,与明堂火焚事件构成强关联
REL018,九洲池,薛怀义,僧人/武则天宠臣,被杀于瑶光殿前,695年,宫廷事件,《资治通鉴》,执之于瑶光殿前树下；殴杀之；送尸白马寺焚之以造塔,强,事件弹层/明堂-九洲池连线,需标注瑶光殿与九洲池的空间关系为史料线索
REL019,九洲池,武攸宁,建昌王/执行者,奉命击杀薛怀义,695年,宫廷事件,《资治通鉴》,使建昌王武攸宁帅壮士殴杀之,中,人物关系线/事件节点附属人物,作为事件链辅助人物
REL020,九洲池,蒋玄晖,权臣,九王惨案,905年,政治暴力/宴杀,《廿二史考异》,遣蒋玄晖杀德王裕等九王于九曲池,强,晚唐事件层/九洲池黑色事件标记,与宫苑游宴空间形成反差
REL021,九洲池,德王裕等九王,亲王群体,九王被杀并投尸池中,905年,政治暴力,《廿二史考异》,九王谓德王裕棣王祖虔王禊沂王禋遂王祎景王祕祁王祺雅王琼王祥,中,群体事件节点/时间轴,人物可作为群体显示
