object_id,object_name,geometry_type,ancient_layer,period,evidence_type,evidence_grade,modern_anchor,ancient_position,metric_info,source,gis_method,status
GIS-A001,宫城/紫微城范围,面,宫城整体,隋唐,图件+文字,A/B,今洛阳市西工区、老城区范围,郭城西北部；南接皇城；东邻东城和含嘉仓城；北接郭城北墙西部；西接郭城西墙北部,东西约2100米；南北约1840-2160米,第341页；图5-1,先画范围框；再用图5-1配准修正,待配准
GIS-A002,大内范围,面,宫城核心区,隋唐,图件+文字,B,图5-1及大内分区图,宫城中部；东接东隔城；西接西隔城；北接玄武城；南接皇城,边长约1040米,第417-418页；图5-64,从图5-64数字化,待配准
GIS-A003,东隔城,面,宫城分区,隋唐,图件复原,B/C,图5-1；图5-64,大内东侧,与宫城东墙、大内东墙之间,第341页；图5-1；图5-64,从复原/分区图数字化,待配准
GIS-A004,西隔城,面,宫城分区,隋唐,图件复原,B/C,图5-1；图5-64,大内西侧,与宫城西墙、大内西墙之间,第341页；图5-1；图5-64,从复原/分区图数字化,待配准
GIS-A005,玄武城,面,宫城北部隔城,隋唐,图件复原,C,图5-28；图5-29,大内北侧、曜仪城南侧,需后续核第三节/北部隔城章节,图5-28；图5-29,暂作复原范围,待核
GIS-A006,圆璧城,面,宫城北部隔城,隋唐,图件复原+钻探点,B/C,图5-29；图5-61；图5-63,宫城北部；曜仪城北侧,以圆璧南门、圆璧门辅助定位,第414-416页；图5-61；图5-63,用门址点约束范围,待配准
GIS-A007,大内四区分区,面组,大内内部,隋唐,图件+文字,B/C,图5-64,大内被东廊、西廊、陶光园南廊分为中区、东区、西区、北区,中区为轴线宫殿区；东区/西区为宫殿区；北区为陶光园,第417页；图5-64,作为叙事分区底图；不作为发掘边界,待配准
GIS-L001,宫城南墙,线,宫城城墙,隋唐,发掘+图件,A,东起金业路东侧；西至洛阳第二实验中学操场东南部,宫城南界；与皇城相隔,方向约92度；全长约2100米,第342页；图5-1,用起止参照和图5-1配准,待配准
GIS-L002,宫城北墙,线,宫城城墙,隋唐,钻探+文字,B,东起岳村东北隅；西抵洛阳春都集团厂区东侧,宫城北界；与郭城北墙西部相关,方向约96度；东西长约2130米,第342页；图5-1,先画粗线；后续用北墙门址修正,待配准
GIS-L003,宫城东墙,线/点组,宫城城墙,隋唐,发掘点组,A,南起马市街西口；北抵驾鸡沟村西南,宫城东界,方向约2度；南北长约2160米；图5-1编号6-12,第360-361页；图5-1；图5-17；DT1、GT847、DT50-17、DT108、DT109、DT26、DT165、DT89-DT91,用7个发掘点约束墙线,可入库
GIS-L004,宫城西墙,线/点组,宫城城墙,隋唐,发掘点组,A,南起洛阳市第二实验中学操场东南部；北抵苗南村南,宫城西界,方向约2度；南北长约1840米；图5-1编号13-16；墙宽多为9-11米,第364-366页；图5-1；图5-21；图5-22；GT442、GT450、GT795、QT3,用4个发掘点约束墙线,可入库
GIS-L005,大内东墙,线/点组,大内城墙,隋唐,发掘点组+图件,A,豫通街小学；桑塔纳汽车维修中心；洛阳市起重机厂,大内东界；南起宫城南墙；北至玄武城南墙,南北长约1040米；3个发掘点；墙基残宽约2.1-3.8米,第418-421页；图5-64至图5-68；GT518、GT412、GT357,用3个发掘点和图5-64约束墙线,可入库
GIS-L006,大内西墙,线/点组,大内城墙,隋唐,发掘点组+图件,A,洛阳市第三中学；洛玻集团家属区；洛玻集团商务大楼；洛玻集团浮法一线；洛玻集团仓储区,大内西界；南起宫城南墙；北至玄武城南墙,南北长约1040米；5个发掘点；早期墙宽约3.7-5米；晚期墙宽约2.6米,第422-424页；图5-64、图5-69、图5-70；GT245、GT828、GT815、GT673、GT675、BT205,用5个发掘点和图5-64约束墙线,可入库
GIS-P001,宫城南墙1号发掘点,点,宫城南墙,隋唐,发掘,A,洛阳日报社院内,大内南墙段,东距应天门约140米,第342、344页；图5-1；图5-2；GT453,现代地点+相对距离定位,可入库
GIS-P002,宫城南墙2号发掘点,点,宫城南墙,隋唐,发掘,A,洛阳日报社院内,大内南墙段,与1号同处洛阳日报社院内；图5-1中位于1号以西,第342页；图5-1；GT509,图5-1配准,可入库
GIS-P003,宫城南墙3号发掘点,点,宫城南墙,隋唐,发掘,A,长乐街小学,大内南墙段西部,图5-1中位于应天门西侧,第342页；图5-1；GT706,现代地点+图5-1配准,可入库
GIS-P004,宫城南墙4号发掘点,点,宫城南墙,隋唐,发掘,A,洛阳市第三中学,西隔城南墙段,东距大内西墙约76米,第344-345页；图5-1；图5-3；GT812,现代地点+相对距离定位,可入库
GIS-P005,宫城南墙5号发掘点,点,宫城南墙,隋唐,发掘,A,洛玻集团唐三街坊小区,西夹城南墙段,西距宫城西墙约98米,第345页；图5-1；图5-4；GT108-GT110,现代地点+相对距离定位,可入库
GIS-P006,宫城东墙6号发掘点,点,宫城东墙,隋唐,发掘,A/B,东风毛毯厂内,宫城东墙南北线南段,图5-1编号6,第360页；图5-1；DT1,现代地点+图5-1配准,可入库
GIS-P007,宫城东墙7号发掘点,点,宫城东墙,隋唐,发掘,A/B,中州路南侧电缆沟,宫城东墙南北线,图5-1编号7,第360页；图5-1；GT847,现代道路+图5-1配准,可入库
GIS-P008,宫城东墙8号发掘点,点,宫城东墙,隋唐,发掘,A,中州路西关桥东端,宫城东墙；距宫城东南角约500米,唐代宫城东墙发掘部分南北长约8米；墙体底宽约9米,第360-361页；图5-17；DT50-17,关键控制点；可优先配准,可入库
GIS-P009,宫城东墙9号发掘点,点,宫城东墙,隋唐,发掘,A/B,老城区招待所,宫城东墙线,图5-1编号9,第360页；图5-1；DT108、DT109,现代地点+图5-1配准,可入库
GIS-P010,宫城东墙10号发掘点,点,宫城东墙,隋唐,发掘,A/B,洛阳市一商局家属院,宫城东墙线,图5-1编号10,第360页；图5-1；DT26,现代地点+图5-1配准,可入库
GIS-P011,宫城东墙11号发掘点,点,宫城东墙,隋唐,发掘,A/B,市五金公司,宫城东墙线,图5-1编号11,第360页；图5-1；DT165,现代地点+图5-1配准,可入库
GIS-P012,宫城东墙12号发掘点,点,宫城东墙,隋唐,发掘,A/B,市色织一厂,宫城东墙线,图5-1编号12,第360页；图5-1；DT89-DT91,现代地点+图5-1配准,可入库
GIS-P013,宫城西墙13号发掘点,点,宫城西墙,隋唐,发掘,A,洛阳市第二实验中学,宫城西墙南段,南距宫城西南角约28米；墙体发掘部分南北长约5米,第364-365页；图5-21；GT442,南墙西端/西墙南端关键控制点,可入库
GIS-P014,宫城西墙14号发掘点,点,宫城西墙,隋唐,发掘,A/B,洛阳玻璃集团唐四住宅小区,宫城西墙线,图5-1编号14,第364页；图5-1；GT450,现代小区+图5-1配准,可入库
GIS-P015,宫城西墙15号发掘点,点,宫城西墙,隋唐,发掘,A,洛阳玻璃集团厂区西南隅,宫城西墙中南段,南距宫城南墙约238米；墙基宽约10米；发掘部分南北长约6米,第365-366页；图5-22；GT795,西墙关键控制点,可入库
GIS-P016,宫城西墙16号发掘点,点,宫城西墙,隋唐,发掘,A/B,洛阳玻璃集团铁路线,宫城西墙线,图5-1编号16,第364页；图5-1；QT3,现代线性参照+图5-1配准,可入库
GIS-P017,大内东墙1号发掘点,点,大内东墙,隋唐,发掘,A,洛阳市老城区豫通街小学,大内东墙南段,距宫城南墙约85米；唐代墙基发掘南北长约3米；东西残宽约3.8米；残厚约0.7-1.2米,第418-419页；图5-65；GT518,现代学校+距南墙距离定位,可入库
GIS-P018,大内东墙2号发掘点,点,大内东墙,隋唐,发掘,A,洛阳市桑塔纳汽车维修中心,大内东墙中北段,距宫城南墙约746米；唐代墙基发掘南北长约10.5米；东西残宽约2.1米；残厚约1.2米,第419-420页；图5-66、图5-67；GT412,现代单位+距南墙距离定位,可入库
GIS-P019,大内东墙3号发掘点,点,大内东墙,隋唐,发掘,A,洛阳市起重机厂,大内东墙北段,南距宫城南墙约918米；唐代墙基东西宽约2.45米,第420-421页；图5-68；GT357,现代单位+距南墙距离定位,可入库
