evidence_id,key,name,source_object_id,source_object_name,source,evidence_type,evidence_grade,geometry_type_raw,modern_anchor,ancient_position,metric_info,gis_method,source_status
EVID_001,palace_city,宫城/紫微城范围,GIS-A001,宫城/紫微城范围,第341页；图5-1,图件+文字,A/B,面,今洛阳市西工区、老城区范围,郭城西北部；南接皇城；东邻东城和含嘉仓城；北接郭城北墙西部；西接郭城西墙北部,东西约2100米；南北约1840-2160米,先画范围框；再用图5-1配准修正,待配准
EVID_002,palace_city,宫城/紫微城范围,GIS-L001,宫城南墙,第342页；图5-1,发掘+图件,A,线,东起金业路东侧；西至洛阳第二实验中学操场东南部,宫城南界；与皇城相隔,方向约92度；全长约2100米,用起止参照和图5-1配准,待配准
EVID_003,palace_city,宫城/紫微城范围,GIS-L002,宫城北墙,第342页；图5-1,钻探+文字,B,线,东起岳村东北隅；西抵洛阳春都集团厂区东侧,宫城北界；与郭城北墙西部相关,方向约96度；东西长约2130米,先画粗线；后续用北墙门址修正,待配准
EVID_004,palace_city,宫城/紫微城范围,GIS-L003,宫城东墙,第360-361页；图5-1；图5-17；DT1、GT847、DT50-17、DT108、DT109、DT26、DT165、DT89-DT91,发掘点组,A,线/点组,南起马市街西口；北抵驾鸡沟村西南,宫城东界,方向约2度；南北长约2160米；图5-1编号6-12,用7个发掘点约束墙线,可入库
EVID_005,palace_city,宫城/紫微城范围,GIS-L004,宫城西墙,第364-366页；图5-1；图5-21；图5-22；GT442、GT450、GT795、QT3,发掘点组,A,线/点组,南起洛阳市第二实验中学操场东南部；北抵苗南村南,宫城西界,方向约2度；南北长约1840米；图5-1编号13-16；墙宽多为9-11米,用4个发掘点约束墙线,可入库
EVID_006,danei,大内范围,GIS-A002,大内范围,第417-418页；图5-64,图件+文字,B,面,图5-1及大内分区图,宫城中部；东接东隔城；西接西隔城；北接玄武城；南接皇城,边长约1040米,从图5-64数字化,待配准
EVID_007,danei,大内范围,GIS-L005,大内东墙,第418-421页；图5-64至图5-68；GT518、GT412、GT357,发掘点组+图件,A,线/点组,豫通街小学；桑塔纳汽车维修中心；洛阳市起重机厂,大内东界；南起宫城南墙；北至玄武城南墙,南北长约1040米；3个发掘点；墙基残宽约2.1-3.8米,用3个发掘点和图5-64约束墙线,可入库
EVID_008,danei,大内范围,GIS-L006,大内西墙,第422-424页；图5-64、图5-69、图5-70；GT245、GT828、GT815、GT673、GT675、BT205,发掘点组+图件,A,线/点组,洛阳市第三中学；洛玻集团家属区；洛玻集团商务大楼；洛玻集团浮法一线；洛玻集团仓储区,大内西界；南起宫城南墙；北至玄武城南墙,南北长约1040米；5个发掘点；早期墙宽约3.7-5米；晚期墙宽约2.6米,用5个发掘点和图5-64约束墙线,可入库
EVID_009,east_gecheng,东隔城,GIS-A003,东隔城,第341页；图5-1；图5-64,图件复原,B/C,面,图5-1；图5-64,大内东侧,与宫城东墙、大内东墙之间,从复原/分区图数字化,待配准
EVID_010,east_gecheng,东隔城,GIS-DOC001,东隔城范围,20260707 考古报告.doc,整理摘录,B/C,面,老城区公安分局；百业大市场；五金工具厂；坛角小学；唐宫东路住宅小区；洛阳机电公司；中州路南沿,大内东侧隔城区域,南北约970米,作为第3册补充线索；需回查页码、图号和边界,待回查
EVID_011,east_gecheng,东隔城,GIS-DOC002,东隔城东墙,20260707 考古报告.doc,整理摘录,B,线/点组,老城区公安分局；百业大市场；五金工具厂；坛角小学；唐宫东路住宅小区；洛阳机电公司院内；中州路南沿,东隔城东界,7次发掘；南北约970米,按发掘点组约束墙线；需回查原报告,待回查
EVID_012,east_gecheng,东隔城,GIS-DOC052,宫城外围隔城总关系,第3册第六章宫城下开篇 p703,第三册原报告核补,B,面组/线组,宫城大内东西两侧及北侧,大内四周拱卫结构,大内东西两侧各有两重隔城即东隔城与东夹城西隔城与西夹城北侧三重隔城,建立宫城外围隔城结构总图层与DOC001-DOC051关联,已核目录与页图
EVID_013,east_gecheng,东隔城,GIS-DOC053,东隔城东墙探方组,第3册第六章第一节东隔城 p703-p707 图6-1至图6-6,第三册原报告核补,B,点组/线,老城区公安分局；百业大市场；五金工具厂；坛角小学；唐宫东路住宅小区；洛阳机电公司；中州路南沿,东夹城西墙/东隔城东墙,东墙南北长970米；相关探方GT753 GT521 GT321 GT648 GT546 GT177 GT846,把各探方作为墙线控制点核验DOC002,待定位
EVID_014,west_gecheng,西隔城,GIS-A004,西隔城,第341页；图5-1；图5-64,图件复原,B/C,面,图5-1；图5-64,大内西侧,与宫城西墙、大内西墙之间,从复原/分区图数字化,待配准
EVID_015,west_gecheng,西隔城,GIS-DOC015,西隔城范围,20260707 考古报告.doc,整理摘录,B/C,面,洛玻集团唐二小区；洛阳玻璃集团宾馆；浮法一线；浮法二线；铁路支线；高压炉房,大内西侧隔城,南北约970米,补宫城西侧外围结构；需回查边界,待回查
EVID_016,west_gecheng,西隔城,GIS-DOC016,西隔城西墙,20260707 考古报告.doc,整理摘录,B,线/点组,洛玻集团唐二小区东南隅；道南路南侧；洛阳玻璃集团宾馆；浮法一线；浮法二线；铁路支线；高压炉房及其北侧院内,西隔城西界,6次发掘；全长约970米；南起洛玻集团唐二小区东南隅，北抵道南路南侧,按发掘点组约束墙线；需回查原报告,待回查
EVID_017,east_jiacheng,东夹城,GIS-DOC010,东夹城范围,20260707 考古报告.doc,整理摘录,B/C,面,老城区公安分局；第二运输公司；黄金房地产开发公司商品住宅小区,大内东侧夹城,南北长约970米；东西宽约180米；四面皆有城墙,补宫城东侧外围结构；需回查边界,待回查
EVID_018,east_jiacheng,东夹城,GIS-DOC011,东夹城一号街道,20260707 考古报告.doc,整理摘录,B/C,线/点组,老城区公安分局；第二运输公司院内,东夹城内部街道,2个发掘点,按点组入库；需回查走向,待回查
EVID_019,east_jiacheng,东夹城,GIS-DOC012,东夹城二号街道,20260707 考古报告.doc,整理摘录,B/C,线/点,黄金房地产开发公司商品住宅小区院内,东夹城内部街道,街道线索,先作线索点；需回查原报告,待回查
EVID_020,east_jiacheng,东夹城,GIS-DOC013,东夹城隔墙组,20260707 考古报告.doc,整理摘录,B/C,线/点组,洛阳市铸造厂院内；黄金房地产开发公司商品住宅小区院内,东夹城内部隔墙,2道隔墙,按隔墙点组入库；需回查走向,待回查
EVID_021,east_jiacheng,东夹城,GIS-DOC014,东夹城基址,20260707 考古报告.doc,整理摘录,B/C,点/面,二号隔墙东侧,东夹城内部基址,基址线索,需回查具体位置和尺寸,待回查
EVID_022,west_jiacheng,西夹城,GIS-DOC031,西夹城范围,20260707 考古报告.doc,整理摘录,B/C,面,洛阳市西工区中部,宫城西侧夹城,平面南北向长方形；南北长约970米；东西宽约180米,补宫城西侧外围结构；需回查边界,待回查
EVID_023,west_jiacheng,西夹城,GIS-DOC032,西夹城东墙,20260707 考古报告.doc,整理摘录,B/C,线/点,玻璃厂北部,西夹城东界,城墙线索,先作线索线；需回查图件,待回查
EVID_024,west_jiacheng,西夹城,GIS-DOC079,西夹城总体范围,第3册第六章第四节 p829,第三册原报告核补,B/C,面,今洛阳市西工区中部；西接宫城西墙；北接玄武城；南接皇城,宫城西侧夹城空间,西夹城东与西隔城相邻；南与皇城相邻；北与玄武城相邻；平面呈南北向长方形；南北长970米；东西宽180米；东墙即西隔城西墙；西墙即宫城西墙；南墙即宫城南墙；北墙即玄武城南墙,作为宫城西侧主边界背景面；解释九洲池和嘉豫门之间的空间归属,待配准
EVID_025,west_jiacheng,西夹城,GIS-DOC080,西夹城东墙北段,第3册第六章第四节 p830 图6-104 图6-137,第三册原报告核补,B,线/点,玻璃厂北部；玄武城南墙以南,西夹城东墙北段,1960年钻探发现西夹城东墙北段；北段从玄武城南墙向南174米；宽25米；夯土距地表1.5米；夯土中有南北向沟长27米宽5米；南段城墙变窄宽16米,可作西夹城东界线段；与九洲池西侧和唐宫路附近关系需叠合,待配准
EVID_026,west_jiacheng,西夹城,GIS-DOC082,西夹城唐代一号街道,第3册第六章第四节 p831 图6-105,第三册原报告核补,B,线,洛阳玻璃集团唐二小区院内,西夹城南北向中线道路,探方GT630；东距西夹城东墙95米；南距西夹城南墙80米；道路南北向；位于西夹城南北向中线上；图6-105示宋代一号街道和唐代一号街道路土关系,可作西夹城内部道路线；用于对照现代小区道路和唐宫路附近路网,待配准
